T_K;T_C;capacity_frac;w_residual;y_methanol_ppm;IP1_methanol;IP2_methanol;t_breakthrough_h
308.15;35.0;1.0000;0.000e+00;226.0;4.6136;1342.72;15.0010
308.15;35.0;0.8500;0.000e+00;88.0;3.9216;1342.72;17.6158
308.15;35.0;0.8500;0.000e+00;132.0;3.9216;1342.72;15.6332
308.15;35.0;0.8500;0.000e+00;160.0;3.9216;1342.72;14.6380
308.15;35.0;0.8500;0.000e+00;190.0;3.9216;1342.72;13.7110
308.15;35.0;0.8500;0.000e+00;226.0;3.9216;1342.72;12.7423
308.15;35.0;0.7000;0.000e+00;88.0;3.2295;1342.72;14.5039
308.15;35.0;0.7000;0.000e+00;132.0;3.2295;1342.72;12.8691
308.15;35.0;0.7000;0.000e+00;160.0;3.2295;1342.72;12.0485
308.15;35.0;0.7000;0.000e+00;190.0;3.2295;1342.72;11.2860
308.15;35.0;0.7000;0.000e+00;226.0;3.2295;1342.72;10.4933
308.15;35.0;0.5500;0.000e+00;88.0;2.5375;1342.72;11.3886
308.15;35.0;0.5500;0.000e+00;132.0;2.5375;1342.72;10.1039
308.15;35.0;0.5500;0.000e+00;160.0;2.5375;1342.72;9.4605
308.15;35.0;0.5500;0.000e+00;190.0;2.5375;1342.72;8.8618
308.15;35.0;0.5500;0.000e+00;226.0;2.5375;1342.72;8.2327
308.15;35.0;0.4200;0.000e+00;88.0;1.9377;1342.72;8.6912
308.15;35.0;0.4200;0.000e+00;132.0;1.9377;1342.72;7.7084
308.15;35.0;0.4200;0.000e+00;160.0;1.9377;1342.72;7.2154
308.15;35.0;0.4200;0.000e+00;190.0;1.9377;1342.72;6.7562
308.15;35.0;0.4200;0.000e+00;226.0;1.9377;1342.72;6.2789
313.15;40.0;1.0000;0.000e+00;88.0;3.4332;999.18;15.8095
313.15;40.0;1.0000;0.000e+00;132.0;3.4332;999.18;14.3110
313.15;40.0;1.0000;0.000e+00;160.0;3.4332;999.18;13.5698
313.15;40.0;1.0000;0.000e+00;190.0;3.4332;999.18;12.8813
313.15;40.0;1.0000;0.000e+00;226.0;3.4332;999.18;12.1554
313.15;40.0;0.8500;0.000e+00;88.0;2.9182;999.18;13.4331
313.15;40.0;0.8500;0.000e+00;132.0;2.9182;999.18;12.1606
313.15;40.0;0.8500;0.000e+00;160.0;2.9182;999.18;11.5303
313.15;40.0;0.8500;0.000e+00;190.0;2.9182;999.18;10.9436
313.15;40.0;0.8500;0.000e+00;226.0;2.9182;999.18;10.3282
313.15;40.0;0.7000;0.000e+00;88.0;2.4032;999.18;11.0574
313.15;40.0;0.7000;0.000e+00;132.0;2.4032;999.18;10.0092
313.15;40.0;0.7000;0.000e+00;160.0;2.4032;999.18;9.4914
313.15;40.0;0.7000;0.000e+00;190.0;2.4032;999.18;9.0092
313.15;40.0;0.7000;0.000e+00;226.0;2.4032;999.18;8.5010
313.15;40.0;0.5500;0.000e+00;88.0;1.8883;999.18;8.6831
313.15;40.0;0.5500;0.000e+00;132.0;1.8883;999.18;7.8567
313.15;40.0;0.5500;0.000e+00;160.0;1.8883;999.18;7.4475
313.15;40.0;0.5500;0.000e+00;190.0;1.8883;999.18;7.0671
313.15;40.0;0.5500;0.000e+00;226.0;1.8883;999.18;6.6724
313.15;40.0;0.4200;0.000e+00;88.0;1.4419;999.18;6.6227
313.15;40.0;0.4200;0.000e+00;132.0;1.4419;999.18;5.9939
313.15;40.0;0.4200;0.000e+00;160.0;1.4419;999.18;5.6814
313.15;40.0;0.4200;0.000e+00;190.0;1.4419;999.18;5.3871
313.15;40.0;0.4200;0.000e+00;226.0;1.4419;999.18;5.0794
318.15;45.0;1.0000;0.000e+00;88.0;2.5793;750.67;11.9998
318.15;45.0;1.0000;0.000e+00;132.0;2.5793;750.67;11.0054
318.15;45.0;1.0000;0.000e+00;160.0;2.5793;750.67;10.5268
318.15;45.0;1.0000;0.000e+00;190.0;2.5793;750.67;10.0866
318.15;45.0;1.0000;0.000e+00;226.0;2.5793;750.67;9.6273
318.15;45.0;0.8500;0.000e+00;88.0;2.1924;750.67;10.1946
318.15;45.0;0.8500;0.000e+00;132.0;2.1924;750.67;9.3492
318.15;45.0;0.8500;0.000e+00;160.0;2.1924;750.67;8.9411
318.15;45.0;0.8500;0.000e+00;190.0;2.1924;750.67;8.5677
318.15;45.0;0.8500;0.000e+00;226.0;2.1924;750.67;8.1794
318.15;45.0;0.7000;0.000e+00;88.0;1.8055;750.67;8.3896
318.15;45.0;0.7000;0.000e+00;132.0;1.8055;750.67;7.6928
318.15;45.0;0.7000;0.000e+00;160.0;1.8055;750.67;7.3581
318.15;45.0;0.7000;0.000e+00;190.0;1.8055;750.67;7.0490
318.15;45.0;0.7000;0.000e+00;226.0;1.8055;750.67;6.7257
318.15;45.0;0.5500;0.000e+00;88.0;1.4186;750.67;6.5847
318.15;45.0;0.5500;0.000e+00;132.0;1.4186;750.67;6.0362
318.15;45.0;0.5500;0.000e+00;160.0;1.4186;750.67;5.7713
318.15;45.0;0.5500;0.000e+00;190.0;1.4186;750.67;5.5309
318.15;45.0;0.5500;0.000e+00;226.0;1.4186;750.67;5.2753
318.15;45.0;0.4200;0.000e+00;88.0;1.0833;750.67;5.0226
318.15;45.0;0.4200;0.000e+00;132.0;1.0833;750.67;4.5989
318.15;45.0;0.4200;0.000e+00;160.0;1.0833;750.67;4.3966
318.15;45.0;0.4200;0.000e+00;190.0;1.0833;750.67;4.2121
318.15;45.0;0.4200;0.000e+00;226.0;1.0833;750.67;4.0211
328.15;55.0;1.0000;0.000e+00;88.0;1.4954;435.23;6.9199
328.15;55.0;1.0000;0.000e+00;132.0;1.4954;435.23;6.4358
328.15;55.0;1.0000;0.000e+00;160.0;1.4954;435.23;6.2147
328.15;55.0;1.0000;0.000e+00;190.0;1.4954;435.23;6.0198
328.15;55.0;1.0000;0.000e+00;226.0;1.4954;435.23;5.8211
328.15;55.0;0.8500;0.000e+00;88.0;1.2711;435.23;5.8777
328.15;55.0;0.8500;0.000e+00;132.0;1.2711;435.23;5.4659
328.15;55.0;0.8500;0.000e+00;160.0;1.2711;435.23;5.2760
328.15;55.0;0.8500;0.000e+00;190.0;1.2711;435.23;5.1084
328.15;55.0;0.8500;0.000e+00;226.0;1.2711;435.23;4.9380
328.15;55.0;0.7000;0.000e+00;88.0;1.0468;435.23;4.8373
328.15;55.0;0.7000;0.000e+00;132.0;1.0468;435.23;4.4976
328.15;55.0;0.7000;0.000e+00;160.0;1.0468;435.23;4.3414
328.15;55.0;0.7000;0.000e+00;190.0;1.0468;435.23;4.2003
328.15;55.0;0.7000;0.000e+00;226.0;1.0468;435.23;4.0579
328.15;55.0;0.5500;0.000e+00;88.0;0.8225;435.23;3.7918
328.15;55.0;0.5500;0.000e+00;132.0;0.8225;435.23;3.5240
328.15;55.0;0.5500;0.000e+00;160.0;0.8225;435.23;3.3978
328.15;55.0;0.5500;0.000e+00;190.0;0.8225;435.23;3.2901
328.15;55.0;0.5500;0.000e+00;226.0;0.8225;435.23;3.1825
328.15;55.0;0.4200;0.000e+00;88.0;0.6281;435.23;2.8865
328.15;55.0;0.4200;0.000e+00;132.0;0.6281;435.23;2.6831
328.15;55.0;0.4200;0.000e+00;160.0;0.6281;435.23;2.5827
328.15;55.0;0.4200;0.000e+00;190.0;0.6281;435.23;2.5070
328.15;55.0;0.4200;0.000e+00;226.0;0.6281;435.23;2.4124
338.15;65.0;1.0000;0.000e+00;88.0;0.8962;260.84;4.0509
338.15;65.0;1.0000;0.000e+00;132.0;0.8962;260.84;3.7901
338.15;65.0;1.0000;0.000e+00;160.0;0.8962;260.84;3.6770
338.15;65.0;1.0000;0.000e+00;190.0;0.8962;260.84;3.5715
338.15;65.0;1.0000;0.000e+00;226.0;0.8962;260.84;3.4748
338.15;65.0;0.8500;0.000e+00;88.0;0.7618;260.84;3.4377
338.15;65.0;0.8500;0.000e+00;132.0;0.7618;260.84;3.2150
338.15;65.0;0.8500;0.000e+00;160.0;0.7618;260.84;3.1158
338.15;65.0;0.8500;0.000e+00;190.0;0.7618;260.84;3.0310
338.15;65.0;0.8500;0.000e+00;226.0;0.7618;260.84;2.9436
338.15;65.0;0.7000;0.000e+00;88.0;0.6274;260.84;2.8294
338.15;65.0;0.7000;0.000e+00;132.0;0.6274;260.84;2.6428
338.15;65.0;0.7000;0.000e+00;160.0;0.6274;260.84;2.5570
338.15;65.0;0.7000;0.000e+00;190.0;0.6274;260.84;2.4924
338.15;65.0;0.7000;0.000e+00;226.0;0.6274;260.84;2.4143
338.15;65.0;0.5500;0.000e+00;88.0;0.4929;260.84;2.2121
338.15;65.0;0.5500;0.000e+00;132.0;0.4929;260.84;2.0635
338.15;65.0;0.5500;0.000e+00;160.0;0.4929;260.84;2.0063
338.15;65.0;0.5500;0.000e+00;190.0;0.4929;260.84;1.9425
338.15;65.0;0.5500;0.000e+00;226.0;0.4929;260.84;1.8856
338.15;65.0;0.4200;0.000e+00;88.0;0.3764;260.84;1.6839
338.15;65.0;0.4200;0.000e+00;132.0;0.3764;260.84;1.5636
338.15;65.0;0.4200;0.000e+00;160.0;0.3764;260.84;1.5200
338.15;65.0;0.4200;0.000e+00;190.0;0.3764;260.84;1.4766
338.15;65.0;0.4200;0.000e+00;226.0;0.3764;260.84;1.4244
